☘️广东频道,#genre#
潮州综合,http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20260101$自用源
潮州民生,http://livezhpd.czbtv.com:38880/live/ggpd.m3u8?secret=czbtv20260101$自用源

🌊港·澳·台,#genre#
翡翠台,http://mytv.cdn.loc.cc/o12.php?id=fct$自用源
翡翠台,https://cdn6.163189.xyz/163189/fct4k$自用源
翡翠台,http://hls.168.us.kg/u/81/master.m3u8$自用源
明珠台,http://mytv.cdn.loc.cc/o12.php?id=mzt$自用源
TVB无线新闻,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn$自用源
TVB无线新闻,https://cdn6.101.qzz.io/163189/wxxw$自用源
TVB无线新闻,http://hls.168.us.kg/u/83/master.m3u8$自用源
TVB星河,https://cdn6.101.qzz.io/163189/tvbxh$自用源
ViuTV,http://hls.168.us.kg/u/99/master.m3u8$自用源
凤凰中文,https://cdn6.163189.xyz/163189/fhzw$自用源
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd$自用源
凤凰资讯,https://cdn6.101.qzz.io/163189/fhzx$自用源
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd$自用源
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn$自用源
澳视澳门,http://r.jdshipin.com/n2YZI$本地源
澳视澳门,https://php.jdshipin.com:2096/TVOD/iptv.php?id=asam$本地源

📺央视频道,#genre#

📡卫视频道,#genre#

🎬电影频道,#genre#
美亚电影,https://php.jdshipin.com:2096/TVOD/iptv.php?id=meiya$本地源
美亚电影,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn$本地源
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya$本地源
美亚电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya$本地源
美亚电影,http://php.jdshipin.com/PLTV/iptv.php?id=meiya$本地源
周星驰,https://live.ottiptv.cc/huya/11342412$本地源
周星驰,https://yylunbo.ottiptv.cc/yy/38670875$本地源
周星驰,http://live.iill.top/huya.php?id=11342412$本地源
李连杰,http://live.iill.top/huya.php?id=11342390$本地源
林正英,https://yylunbo.ottiptv.cc/yy/1462895099$本地源
林正英,https://yylunbo.ottiptv.cc/yy/1351505899$本地源
林正英,http://live.iill.top/huya.php?id=11342421$本地源
黄渤,http://live.iill.top/huya.php?id=11601968$本地源

🕘️更新时间,#genre#
2026-02-27 12:28:31,http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20260101$自用源
